ID,IPHONECAKE_LINK,VERSION,TOTAL_DOWNLOAD
479516143,https://www.iphonecake.com/app_479516143_.html,0.15.2,3347581
880971164,https://www.iphonecake.com/app_880971164_.html,2.6.0,270230
299604556,https://www.iphonecake.com/app_299604556_.html,7.18.1,4920
898670449,https://www.iphonecake.com/app_898670449_.html,3.3.3,7420
402656416,https://www.iphonecake.com/app_402656416_.html,2.8.3,137200
768592901,https://www.iphonecake.com/app_768592901_.html,4.0,89940
1046213361,https://www.iphonecake.com/app_1046213361_.html,2.2,360
1036122889,https://www.iphonecake.com/app_1036122889_.html,1.3.6,5180
1092222415,https://www.iphonecake.com/app_1092222415_.html,5,360
984987085,https://www.iphonecake.com/app_984987085_.html,1.0.3,780
539497963,https://www.iphonecake.com/app_539497963_.html,5,160
312220102,https://www.iphonecake.com/app_312220102_.html,4.3.1,65156
410395246,https://www.iphonecake.com/app_410395246_.html,15.24,10700
372513032,https://www.iphonecake.com/app_372513032_.html,3.24.206722,39243
946659216,https://www.iphonecake.com/app_946659216_.html,3.2.7,16690
880971164,https://www.iphonecake.com/app_880971164_.html,2.6.0,270230
479516143,https://www.iphonecake.com/app_479516143_.html,0.15.2,3347581
880971164,https://www.iphonecake.com/app_880971164_.html,2.6.0,270230
299604556,https://www.iphonecake.com/app_299604556_.html,7.18.1,4920
898670449,https://www.iphonecake.com/app_898670449_.html,3.3.3,7420
402656416,https://www.iphonecake.com/app_402656416_.html,2.8.3,137200
768592901,https://www.iphonecake.com/app_768592901_.html,4.0,89940
436673117,https://www.iphonecake.com/app_436673117_.html,5.4,15284
484090401,https://www.iphonecake.com/app_484090401_.html,4.6,426915
675054186,https://www.iphonecake.com/app_675054186_.html,4.6,76990
357828853,https://www.iphonecake.com/app_357828853_.html,2.5.3,219721
1048948975,https://www.iphonecake.com/app_1048948975_.html,1.2,220
329127297,https://www.iphonecake.com/app_329127297_.html,10.7,48472
790203750,https://www.iphonecake.com/app_790203750_.html,5.0,47395
1040083067,https://www.iphonecake.com/app_1040083067_.html,1.0.68,2840
510623322,https://www.iphonecake.com/app_510623322_.html,6.2.0,62510
1024549051,https://www.iphonecake.com/app_1024549051_.html,1.3.0,14480
362057947,https://www.iphonecake.com/app_362057947_.html,5.7.1,35694
